image,gt,fixed_count,adaptive_count,delta_count,fixed_weight,adaptive_weight,delta_weight
images/train/0000080_00002_d_0000001.jpg,0,10,13,3,4.4967041015625,5.002974987030029,0.5062708854675293
images/train/0000080_00002_d_0000001.jpg,1,7,12,5,4.209084510803223,4.395023345947266,0.18593883514404297
images/train/0000080_00002_d_0000001.jpg,2,7,13,6,4.734305381774902,4.8739471435546875,0.13964176177978516
images/train/0000080_00002_d_0000001.jpg,3,6,13,7,3.3956127166748047,3.9799296855926514,0.5843169689178467
images/train/0000080_00002_d_0000001.jpg,4,10,13,3,4.524308204650879,4.579657554626465,0.05534934997558594
images/train/0000080_00002_d_0000001.jpg,5,8,13,5,4.788567543029785,5.082294940948486,0.29372739791870117
images/train/0000080_00002_d_0000001.jpg,6,9,13,4,2.6773598194122314,3.0558767318725586,0.37851691246032715
images/train/0000080_00002_d_0000001.jpg,7,10,13,3,5.639531135559082,5.79770565032959,0.1581745147705078
images/train/0000080_00002_d_0000001.jpg,8,7,13,6,4.297839164733887,4.928229331970215,0.6303901672363281
images/train/0000080_00002_d_0000001.jpg,9,5,13,8,1.3513764142990112,1.7388226985931396,0.3874462842941284
images/train/0000080_00002_d_0000001.jpg,10,7,13,6,3.520489454269409,3.680664300918579,0.16017484664916992
images/train/0000080_00002_d_0000001.jpg,11,10,13,3,5.059364318847656,5.328293800354004,0.26892948150634766
images/train/0000080_00002_d_0000001.jpg,12,7,12,5,4.618842601776123,4.759340763092041,0.14049816131591797
images/train/0000080_00002_d_0000001.jpg,13,9,12,3,3.6098361015319824,3.9392101764678955,0.3293740749359131
images/train/0000080_00002_d_0000001.jpg,14,8,13,5,2.6767892837524414,3.2391467094421387,0.5623574256896973
images/train/0000080_00002_d_0000001.jpg,15,4,6,2,1.4121119976043701,1.4139612913131714,0.0018492937088012695
images/train/0000080_00002_d_0000001.jpg,16,10,13,3,3.1851155757904053,3.226292610168457,0.04117703437805176
images/train/0000080_00002_d_0000001.jpg,17,7,13,6,2.1826062202453613,2.3460779190063477,0.16347169876098633
