epoch,branch,area_bin,stage,gt_observations,mean,p50,p90,zero_fraction,batches
1,topk10_topk210,small,raw,475708,4.152044951945311,2,11,0.1663604564144391,1618
1,topk10_topk210,small,expanded,475708,5.870914510582121,5,11,0.0,1618
1,topk10_topk210,small,before_conflict,475708,3.9391727698504124,3,10,0.1336933581104375,1618
1,topk10_topk210,small,after_conflict,475708,3.383266625745205,2,10,0.2028702481354108,1618
1,topk10_topk210,medium,raw,60001,50.97855035749404,38,99,0.0,1618
1,topk10_topk210,medium,expanded,60001,50.97876702054966,38,99,0.0,1618
1,topk10_topk210,medium,before_conflict,60001,9.998916684721921,10,10,0.0,1618
1,topk10_topk210,medium,after_conflict,60001,9.707554874085432,10,10,0.0005166580556990717,1618
1,topk10_topk210,large,raw,2672,320.36751497005986,261,502,0.0,1618
1,topk10_topk210,large,expanded,2672,320.36751497005986,261,502,0.0,1618
1,topk10_topk210,large,before_conflict,2672,10.0,10,10,0.0,1618
1,topk10_topk210,large,after_conflict,2672,10.050149700598803,10,10,0.0,1618
2,topk10_topk210,small,raw,476427,4.1165928883123755,2,11,0.17069141757289155,1618
2,topk10_topk210,small,expanded,476427,5.867450837169178,5,11,0.0,1618
2,topk10_topk210,small,before_conflict,476427,4.153020294819563,3,10,0.06454713943584221,1618
2,topk10_topk210,small,after_conflict,476427,3.5197816244671274,3,9,0.14384575181507345,1618
2,topk10_topk210,medium,raw,59162,50.63613468104526,38,98,0.0,1618
2,topk10_topk210,medium,expanded,59162,50.63613468104526,38,98,0.0,1618
2,topk10_topk210,medium,before_conflict,59162,9.999830972583753,10,10,0.0,1618
2,topk10_topk210,medium,after_conflict,59162,9.768550758933099,10,10,0.00018593015787160677,1618
2,topk10_topk210,large,raw,2686,321.5223380491437,263,494,0.0,1618
2,topk10_topk210,large,expanded,2686,321.5223380491437,263,494,0.0,1618
2,topk10_topk210,large,before_conflict,2686,10.0,10,10,0.0,1618
2,topk10_topk210,large,after_conflict,2686,10.001116902457186,10,10,0.0,1618
3,topk10_topk210,small,raw,477536,4.115327430811499,2,11,0.1686951350264692,1618
3,topk10_topk210,small,expanded,477536,5.854827698854118,5,11,0.0,1618
3,topk10_topk210,small,before_conflict,477536,4.207395882195269,3,10,0.03799294712859345,1618
3,topk10_topk210,small,after_conflict,477536,3.5813676874623064,3,9,0.11413380352476044,1618
3,topk10_topk210,medium,raw,58683,51.03917659288039,38,99,0.0,1618
3,topk10_topk210,medium,expanded,58683,51.03977301773938,38,99,0.0,1618
3,topk10_topk210,medium,before_conflict,58683,9.99989775573846,10,10,0.0,1618
3,topk10_topk210,medium,after_conflict,58683,9.800129509397951,10,10,0.00018744781282483853,1618
3,topk10_topk210,large,raw,2736,317.3062865497076,264,495,0.0,1618
3,topk10_topk210,large,expanded,2736,317.3062865497076,264,495,0.0,1618
3,topk10_topk210,large,before_conflict,2736,10.0,10,10,0.0,1618
3,topk10_topk210,large,after_conflict,2736,9.993055555555555,10,10,0.0,1618
4,topk10_topk210,small,raw,484502,4.125809594181241,2,11,0.1694544088569294,1618
4,topk10_topk210,small,expanded,484502,5.864147103623927,5,11,0.0,1618
4,topk10_topk210,small,before_conflict,484502,4.1968185889841525,3,10,0.032678915670110754,1618
4,topk10_topk210,small,after_conflict,484502,3.580736508827621,3,9,0.10852999574821157,1618
4,topk10_topk210,medium,raw,60011,50.78052357067871,38,98,0.0,1618
4,topk10_topk210,medium,expanded,60011,50.780740197630436,38,98,0.0,1618
4,topk10_topk210,medium,before_conflict,60011,9.99985002749496,10,10,0.0,1618
4,topk10_topk210,medium,after_conflict,60011,9.799303461032144,10,10,0.00016663611671193616,1618
4,topk10_topk210,large,raw,2712,324.3613569321534,262,514,0.0,1618
4,topk10_topk210,large,expanded,2712,324.3613569321534,262,514,0.0,1618
4,topk10_topk210,large,before_conflict,2712,10.0,10,10,0.0,1618
4,topk10_topk210,large,after_conflict,2712,9.966814159292035,10,10,0.0,1618
5,topk10_topk210,small,raw,481085,4.113127617780641,2,11,0.16834862862072192,1618
