epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,859.956,4.69016,5.31015,3.79354,1.08759,0.61398,0.01661,0.00471,0.00123,3.4659,3.4713,2.3487,0,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00499691,0.00166564,0.0199876,0.00666255
2,1583.52,2.92266,2.85552,1.80486,1.00066,0.03734,0.17287,0.04316,0.01762,2.45919,2.31985,1.44159,0,0.0198289,0.00660962,0.0198289,0.00660962,0.0198289,0.00660962,0.0198289,0.00660962,0.00991444,0.00330481,0.0396577,0.0132192
3,2293.07,2.41436,2.29808,1.42325,1.00146,0.21892,0.12643,0.07556,0.03407,2.14791,1.94239,1.29701,0,0.0294989,0.00983297,0.0294989,0.00983297,0.0294989,0.00983297,0.0294989,0.00983297,0.0147495,0.00491649,0.0589978,0.0196659
4,2860.51,2.21568,2.07915,1.30906,0.99873,0.26187,0.15073,0.10055,0.04781,1.99452,1.79843,1.2214,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0146287,0.00487625,0.058515,0.019505
5,3472.82,2.08353,1.91501,1.23891,0.99872,0.19132,0.18095,0.11511,0.05544,1.92122,1.64841,1.19268,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.014505,0.004835,0.05802,0.01934
6,4076.73,2.00051,1.82111,1.20198,0.99836,0.18381,0.18471,0.11156,0.05458,1.94365,1.68134,1.16965,0,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0143812,0.00479375,0.057525,0.019175
7,4674.32,1.94416,1.73702,1.17543,0.99816,0.22982,0.20198,0.14383,0.0728,1.80435,1.55888,1.1339,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.0142575,0.0047525,0.05703,0.01901
8,5277.09,1.88152,1.66256,1.15397,0.99866,0.25299,0.21628,0.162,0.08274,1.74956,1.45257,1.12781,0,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0141338,0.00471125,0.056535,0.018845
9,5877.74,1.85911,1.60989,1.13662,0.99874,0.25869,0.21865,0.16783,0.08605,1.73101,1.44021,1.10434,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.01401,0.00467,0.05604,0.01868
10,6553.76,1.82206,1.57507,1.12141,0.99902,0.27544,0.23884,0.1869,0.09631,1.71346,1.39687,1.1044,0,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0138863,0.00462875,0.055545,0.018515
11,7192.49,1.79356,1.53457,1.11383,0.9985,0.28257,0.23925,0.18615,0.09832,1.64464,1.3623,1.07726,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.0137625,0.0045875,0.05505,0.01835
12,7792.65,1.7757,1.4995,1.10089,0.99926,0.27981,0.2501,0.1959,0.10341,1.65622,1.37016,1.0771,0,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0136387,0.00454625,0.054555,0.018185
13,8382.95,1.75385,1.47909,1.09829,0.99858,0.29687,0.25214,0.20515,0.10781,1.62777,1.32772,1.06435,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.013515,0.004505,0.05406,0.01802
14,8974.46,1.73692,1.46092,1.0816,0.99946,0.30635,0.25652,0.2073,0.10917,1.62991,1.31315,1.063,0,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0133912,0.00446375,0.053565,0.017855
15,9547.24,1.72667,1.43915,1.07887,0.99929,0.32768,0.2683,0.2237,0.11893,1.59942,1.30224,1.04823,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.0132675,0.0044225,0.05307,0.01769
16,10126.6,1.71708,1.42054,1.07,0.99917,0.35889,0.25857,0.22681,0.1214,1.61187,1.29936,1.04637,0,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0131437,0.00438125,0.052575,0.017525
17,10698.3,1.71435,1.41644,1.06491,0.99922,0.35296,0.26387,0.23548,0.12718,1.59696,1.27972,1.04273,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.01302,0.00434,0.05208,0.01736
18,11265,1.7046,1.39702,1.05789,0.9995,0.3449,0.28281,0.24144,0.13069,1.57185,1.26053,1.03337,0,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0128962,0.00429875,0.051585,0.017195
19,11829.5,1.69044,1.38365,1.0506,0.99931,0.35358,0.2815,0.24497,0.1324,1.57137,1.25568,1.03022,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.0127725,0.0042575,0.05109,0.01703
20,12396.3,1.67391,1.36504,1.04347,0.99963,0.34599,0.28371,0.24906,0.13595,1.55992,1.24388,1.02248,0,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0126488,0.00421625,0.050595,0.016865
21,12963.3,1.68322,1.36243,1.04109,1.00007,0.36435,0.28888,0.25355,0.13854,1.54574,1.2315,1.01608,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.012525,0.004175,0.0501,0.0167
22,13535.2,1.67649,1.35246,1.03771,0.9997,0.37933,0.28552,0.25423,0.13917,1.54562,1.22748,1.01465,0,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0124012,0.00413375,0.049605,0.016535
23,14105.3,1.66013,1.3384,1.03345,0.99932,0.36719,0.29833,0.26126,0.14417,1.52914,1.21263,1.01057,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.0122775,0.0040925,0.04911,0.01637
24,14671.6,1.65456,1.33424,1.03041,0.99976,0.36581,0.29592,0.26486,0.14595,1.53066,1.20948,1.0093,0,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0121537,0.00405125,0.048615,0.016205
25,15238.1,1.64081,1.31718,1.02458,0.99981,0.378,0.29593,0.26748,0.1471,1.52284,1.19723,1.00434,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.01203,0.00401,0.04812,0.01604
26,15807,1.63415,1.30426,1.02102,0.99989,0.38154,0.30044,0.27069,0.15004,1.50801,1.18769,1.00025,0,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0119062,0.00396875,0.047625,0.015875
27,16371.5,1.6307,1.29737,1.01986,0.99985,0.38151,0.30796,0.27774,0.15229,1.51101,1.18647,0.99821,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.0117825,0.0039275,0.04713,0.01571
28,16946.5,1.61357,1.28169,1.01618,0.99942,0.38362,0.30875,0.28019,0.15436,1.49676,1.16643,0.99691,0,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0116587,0.00388625,0.046635,0.015545
29,17517.8,1.61392,1.27829,1.01503,1.00002,0.37501,0.31061,0.27621,0.15064,1.49485,1.16936,0.99278,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.011535,0.003845,0.04614,0.01538
