epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,882.256,4.63851,5.03366,3.68884,1.08738,0.42585,0.02421,0.00739,0.00208,3.30237,3.12888,2.13123,0,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00499691,0.00166564,0.0199876,0.00666255
2,1614.47,2.92925,2.7635,1.71648,1.00096,0.26551,0.10564,0.04493,0.01763,2.55152,2.31255,1.39373,0,0.0198289,0.00660962,0.0198289,0.00660962,0.0198289,0.00660962,0.0198289,0.00660962,0.00991444,0.00330481,0.0396577,0.0132192
3,2279.36,2.44092,2.3006,1.37523,1.00134,0.3286,0.09105,0.04855,0.01934,2.4516,2.13789,1.40299,0,0.0294989,0.00983297,0.0294989,0.00983297,0.0294989,0.00983297,0.0294989,0.00983297,0.0147495,0.00491649,0.0589978,0.0196659
4,2930.91,2.24295,2.08301,1.25514,0.99882,0.21058,0.15545,0.08411,0.03776,2.08821,1.84958,1.1786,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0146287,0.00487625,0.058515,0.019505
5,3583.27,2.11798,1.94277,1.18822,0.99835,0.19611,0.18444,0.11224,0.05426,1.97052,1.69551,1.13795,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.014505,0.004835,0.05802,0.01934
6,4270.19,2.03597,1.8373,1.15483,0.99836,0.18481,0.18942,0.11728,0.05833,1.92071,1.69445,1.12077,0,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0143812,0.00479375,0.057525,0.019175
7,4925.73,1.97455,1.74752,1.12308,0.99832,0.22998,0.19968,0.13714,0.07106,1.83744,1.56508,1.08985,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.0142575,0.0047525,0.05703,0.01901
8,5572.85,1.92461,1.67832,1.1005,0.99869,0.24919,0.21705,0.15988,0.08183,1.80667,1.50466,1.07918,0,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0141338,0.00471125,0.056535,0.018845
9,6212.18,1.8842,1.63177,1.08852,0.99891,0.25012,0.22166,0.16161,0.0827,1.78505,1.4849,1.06141,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.01401,0.00467,0.05604,0.01868
10,6855.81,1.86702,1.5974,1.07495,0.99905,0.27413,0.22926,0.17945,0.09225,1.7642,1.44319,1.0612,0,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0138863,0.00462875,0.055545,0.018515
