epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,889.625,4.70871,5.19,3.79852,1.08746,0.41773,0.01739,0.00452,0.00113,3.4768,3.39712,2.37316,0,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00499691,0.00166564,0.0199876,0.00666255
2,1627.28,2.9978,2.915,1.84549,1.00088,0.37779,0.09355,0.04662,0.01964,2.47594,2.30326,1.44587,0,0.0198289,0.00660962,0.0198289,0.00660962,0.0198289,0.00660962,0.0198289,0.00660962,0.00991444,0.00330481,0.0396577,0.0132192
3,2326.13,2.45271,2.35457,1.44201,1.00149,0.32672,0.10452,0.06196,0.02563,2.29644,2.09708,1.39776,0,0.0294989,0.00983297,0.0294989,0.00983297,0.0294989,0.00983297,0.0294989,0.00983297,0.0147495,0.00491649,0.0589978,0.0196659
4,3017.76,2.23766,2.11135,1.31209,0.99876,0.13573,0.13047,0.08092,0.03594,2.17703,1.9197,1.26081,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0146287,0.00487625,0.058515,0.019505
5,3701.99,2.11,1.95409,1.24077,0.99828,0.19938,0.17633,0.11594,0.05661,1.95394,1.67901,1.1944,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.014505,0.004835,0.05802,0.01934
6,4411.43,2.01816,1.84556,1.20159,0.99835,0.20967,0.19643,0.12747,0.06235,1.91458,1.68541,1.16771,0,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0143812,0.00479375,0.057525,0.019175
7,5094.77,1.95463,1.75486,1.16858,0.99845,0.24519,0.19657,0.14592,0.0756,1.78974,1.53587,1.12644,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.0142575,0.0047525,0.05703,0.01901
8,5771.92,1.90092,1.67685,1.14425,0.99868,0.25373,0.19938,0.15563,0.08022,1.78449,1.52445,1.1165,0,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0141338,0.00471125,0.056535,0.018845
9,6441.83,1.85913,1.62633,1.12899,0.999,0.27171,0.2184,0.17089,0.08586,1.76121,1.45414,1.10306,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.01401,0.00467,0.05604,0.01868
10,7115.68,1.84376,1.58987,1.1161,0.99876,0.27454,0.22941,0.18114,0.09402,1.70737,1.41364,1.0934,0,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0138863,0.00462875,0.055545,0.018515
11,7791.24,1.81352,1.55353,1.10579,0.99877,0.28769,0.2317,0.18539,0.09768,1.66967,1.39028,1.07281,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.0137625,0.0045875,0.05505,0.01835
12,8485.96,1.78651,1.51418,1.09555,0.99859,0.29471,0.24325,0.19918,0.10422,1.66666,1.36912,1.06947,0,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0136387,0.00454625,0.054555,0.018185
13,9158.73,1.77768,1.49853,1.08639,0.99938,0.29899,0.25484,0.20482,0.10926,1.65114,1.35481,1.0559,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.013515,0.004505,0.05406,0.01802
14,9843.68,1.75479,1.46564,1.0775,0.99866,0.30656,0.25611,0.21522,0.11486,1.6358,1.36134,1.04308,0,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0133912,0.00446375,0.053565,0.017855
15,10527.2,1.73668,1.45293,1.06471,0.99963,0.3329,0.26977,0.22807,0.12286,1.60928,1.30554,1.04349,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.0132675,0.0044225,0.05307,0.01769
16,11205.5,1.73558,1.44189,1.0613,0.99914,0.34218,0.26165,0.22756,0.12151,1.61416,1.30402,1.0338,0,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0131437,0.00438125,0.052575,0.017525
17,11888.1,1.71499,1.41907,1.05763,0.99932,0.34674,0.27173,0.23662,0.12772,1.60005,1.27544,1.03113,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.01302,0.00434,0.05208,0.01736
18,12573.6,1.71547,1.40535,1.04377,0.99972,0.33512,0.27964,0.24205,0.13045,1.58034,1.26858,1.02542,0,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0128962,0.00429875,0.051585,0.017195
19,13262.1,1.70208,1.38897,1.04067,0.99934,0.34933,0.28124,0.24907,0.13496,1.57319,1.25533,1.01849,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.0127725,0.0042575,0.05109,0.01703
20,13937.8,1.68615,1.36642,1.0343,0.99938,0.34453,0.28911,0.24885,0.13637,1.56681,1.25508,1.01316,0,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0126488,0.00421625,0.050595,0.016865
21,14615.8,1.67882,1.36268,1.03271,1.00002,0.36828,0.29003,0.25654,0.1405,1.54974,1.23656,1.00685,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.012525,0.004175,0.0501,0.0167
22,15305.2,1.66336,1.34047,1.02726,0.99936,0.36011,0.28825,0.25781,0.14033,1.55168,1.22459,1.00865,0,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0124012,0.00413375,0.049605,0.016535
23,15990.5,1.6588,1.32993,1.02348,0.99973,0.3614,0.30281,0.26849,0.14772,1.52782,1.21207,1.0025,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.0122775,0.0040925,0.04911,0.01637
24,16668.6,1.63904,1.31964,1.02106,0.99961,0.37298,0.29544,0.26666,0.14659,1.52916,1.20854,1.00023,0,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0121537,0.00405125,0.048615,0.016205
25,17348.4,1.64028,1.31222,1.01836,0.99956,0.36509,0.30377,0.26829,0.14764,1.52361,1.20342,0.99944,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.01203,0.00401,0.04812,0.01604
26,18021.4,1.63716,1.30299,1.01299,0.9999,0.37924,0.30141,0.27167,0.14975,1.51404,1.19534,0.99403,0,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0119062,0.00396875,0.047625,0.015875
27,18705.4,1.63138,1.29523,1.0126,0.9999,0.38353,0.31099,0.2772,0.15314,1.51315,1.1866,0.99428,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.0117825,0.0039275,0.04713,0.01571
28,19386.6,1.62167,1.28649,1.00925,0.99987,0.3954,0.30441,0.27839,0.15427,1.49813,1.17029,0.99098,0,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0116587,0.00388625,0.046635,0.015545
29,20068.8,1.6125,1.27493,1.00667,0.99997,0.38884,0.30692,0.27612,0.15295,1.49987,1.17122,0.98655,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.011535,0.003845,0.04614,0.01538
30,20747.6,1.6086,1.26494,1.00342,0.99953,0.40483,0.31393,0.28828,0.15893,1.49622,1.1583,0.98561,0,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0114112,0.00380375,0.045645,0.015215
31,21426.4,1.6146,1.2679,1.00237,1.00014,0.40182,0.32006,0.29507,0.16316,1.48527,1.1491,0.98527,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.0112875,0.0037625,0.04515,0.01505
32,22093.1,1.59894,1.25157,0.99736,0.99969,0.41212,0.31166,0.29069,0.16202,1.47932,1.14837,0.98036,0,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0111638,0.00372125,0.044655,0.014885
33,22765.9,1.59467,1.24623,0.99677,1.00021,0.40915,0.31609,0.29223,0.1639,1.47553,1.14423,0.97997,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.01104,0.00368,0.04416,0.01472
