epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,930.243,4.63998,5.09238,3.72048,1.08743,0.31893,0.02018,0.0062,0.0017,3.32979,3.23301,2.22485,0,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00499691,0.00166564,0.0199876,0.00666255
2,1698.34,2.88976,2.85781,1.80955,1.00087,0.2761,0.09169,0.04577,0.01859,2.38789,2.28586,1.45751,0,0.0198289,0.00660962,0.0198289,0.00660962,0.0198289,0.00660962,0.0198289,0.00660962,0.00991444,0.00330481,0.0396577,0.0132192
3,2416.14,2.33949,2.32877,1.45287,1.0013,0.41299,0.08927,0.05197,0.02121,2.35591,2.11373,1.47982,0,0.0294989,0.00983297,0.0294989,0.00983297,0.0294989,0.00983297,0.0294989,0.00983297,0.0147495,0.00491649,0.0589978,0.0196659
4,3177.74,2.12947,2.08556,1.32852,0.99908,0.22666,0.13025,0.07973,0.03816,2.01015,1.87657,1.25473,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0146287,0.00487625,0.058515,0.019505
5,3938.6,1.99594,1.9262,1.25697,0.99819,0.19406,0.1678,0.10888,0.05266,1.8892,1.66029,1.21229,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.014505,0.004835,0.05802,0.01934
6,4670.72,1.9152,1.81642,1.22042,0.99851,0.19065,0.19668,0.12161,0.06052,1.8179,1.65422,1.18029,0,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0143812,0.00479375,0.057525,0.019175
7,5400.64,1.85234,1.72168,1.18814,0.99849,0.20756,0.20684,0.13579,0.06916,1.7524,1.55436,1.14862,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.0142575,0.0047525,0.05703,0.01901
8,6149.44,1.79948,1.64838,1.16536,0.99866,0.24404,0.20474,0.14715,0.07669,1.71225,1.50243,1.1347,0,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0141338,0.00471125,0.056535,0.018845
9,6888.05,1.75751,1.59696,1.15042,0.99903,0.26536,0.2219,0.16381,0.08366,1.6822,1.45308,1.11795,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.01401,0.00467,0.05604,0.01868
10,7611.67,1.73532,1.55961,1.13626,0.99892,0.28256,0.23402,0.18372,0.09631,1.62163,1.39236,1.11263,0,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0138863,0.00462875,0.055545,0.018515
11,8352.51,1.70818,1.51908,1.1269,0.9985,0.28787,0.24099,0.18922,0.10061,1.57681,1.3369,1.09045,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.0137625,0.0045875,0.05505,0.01835
12,9087.53,1.67908,1.48028,1.11531,0.99867,0.29422,0.23672,0.19738,0.10304,1.58523,1.33914,1.08885,0,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0136387,0.00454625,0.054555,0.018185
13,9824.54,1.6682,1.45703,1.10766,0.99951,0.29818,0.25048,0.20035,0.1076,1.56092,1.32004,1.07335,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.013515,0.004505,0.05406,0.01802
14,10565.3,1.65235,1.43107,1.09881,0.99846,0.33163,0.24699,0.21517,0.11457,1.5721,1.32687,1.06572,0,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0133912,0.00446375,0.053565,0.017855
15,11297,1.63941,1.41272,1.08642,0.99962,0.31223,0.27629,0.22434,0.12098,1.53977,1.28283,1.05971,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.0132675,0.0044225,0.05307,0.01769
16,12038.3,1.64378,1.40596,1.08188,0.99913,0.33916,0.25704,0.22269,0.121,1.53547,1.27091,1.04973,0,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0131437,0.00438125,0.052575,0.017525
