epoch,branch,area_bin,stage,gt_observations,mean,p50,p90,zero_fraction,batches
1,topk10_topk210,small,raw,476684,4.1101631269352445,2,11,0.17006654303479873,1618
1,topk10_topk210,small,expanded,476684,5.851176041150951,5,11,0.0,1618
1,topk10_topk210,small,before_conflict,476684,3.9270103464769113,3,10,0.1342734390078123,1618
1,topk10_topk210,small,after_conflict,476684,3.377312852959193,2,9,0.20098639769742638,1618
1,topk10_topk210,medium,raw,59264,50.69917656587473,38,98,0.0,1618
1,topk10_topk210,medium,expanded,59264,50.69917656587473,38,98,0.0,1618
1,topk10_topk210,medium,before_conflict,59264,9.998970707343412,10,10,0.0,1618
1,topk10_topk210,medium,after_conflict,59264,9.675367845572355,10,10,0.0003543466522678186,1618
1,topk10_topk210,large,raw,2641,315.89095039757666,258,489,0.0,1618
1,topk10_topk210,large,expanded,2641,315.89095039757666,258,489,0.0,1618
1,topk10_topk210,large,before_conflict,2641,10.0,10,10,0.0,1618
1,topk10_topk210,large,after_conflict,2641,9.982203710715638,10,10,0.0,1618
2,topk10_topk210,small,raw,470677,4.1702080195123195,2,11,0.16732493833350684,1618
2,topk10_topk210,small,expanded,470677,5.888263076377219,5,11,0.0,1618
2,topk10_topk210,small,before_conflict,470677,4.204991958391848,3,10,0.06080603046250401,1618
2,topk10_topk210,small,after_conflict,470677,3.5732381229590566,3,10,0.13772289701854987,1618
2,topk10_topk210,medium,raw,59458,50.59500824111137,38,98,0.0,1618
2,topk10_topk210,medium,expanded,59458,50.5954623431666,38,98,0.0,1618
2,topk10_topk210,medium,before_conflict,59458,9.99981499545898,10,10,0.0,1618
2,topk10_topk210,medium,after_conflict,59458,9.749991590702681,10,10,0.0001177301624676242,1618
2,topk10_topk210,large,raw,2767,319.4495843874232,260,490,0.0,1618
2,topk10_topk210,large,expanded,2767,319.4495843874232,260,490,0.0,1618
2,topk10_topk210,large,before_conflict,2767,10.0,10,10,0.0,1618
2,topk10_topk210,large,after_conflict,2767,9.991326346223346,10,10,0.0,1618
3,topk10_topk210,small,raw,478781,4.132290128472099,2,11,0.16902090935103942,1618
3,topk10_topk210,small,expanded,478781,5.87047940498892,5,11,0.0,1618
3,topk10_topk210,small,before_conflict,478781,4.2162178532565,3,10,0.03924550055244465,1618
3,topk10_topk210,small,after_conflict,478781,3.5865291229184115,3,10,0.11707022626211148,1618
3,topk10_topk210,medium,raw,59635,50.66690701769095,38,98,0.0,1618
3,topk10_topk210,medium,expanded,59635,50.66690701769095,38,98,0.0,1618
3,topk10_topk210,medium,before_conflict,59635,9.99988261926721,10,10,0.0,1618
3,topk10_topk210,medium,after_conflict,59635,9.780766328498364,10,10,0.00018445543724322964,1618
3,topk10_topk210,large,raw,2637,319.5255972696246,265,488,0.0,1618
3,topk10_topk210,large,expanded,2637,319.5255972696246,265,488,0.0,1618
3,topk10_topk210,large,before_conflict,2637,10.0,10,10,0.0,1618
3,topk10_topk210,large,after_conflict,2637,9.974592339780052,10,10,0.0,1618
4,topk10_topk210,small,raw,483764,4.086674494174845,2,11,0.1719185387916422,1618
4,topk10_topk210,small,expanded,483764,5.842611273265477,5,11,0.0,1618
4,topk10_topk210,small,before_conflict,483764,4.180474363532632,3,10,0.035798447176722537,1618
4,topk10_topk210,small,after_conflict,483764,3.5659267742122194,3,9,0.11233990127417501,1618
4,topk10_topk210,medium,raw,59070,50.41694599627561,38,98,0.0,1618
4,topk10_topk210,medium,expanded,59070,50.417538513627896,38,98,0.0,1618
4,topk10_topk210,medium,before_conflict,59070,9.999830709327917,10,10,0.0,1618
4,topk10_topk210,medium,after_conflict,59070,9.792161841882512,10,10,0.00010157440325038091,1618
4,topk10_topk210,large,raw,2623,319.1315287838353,260,493,0.0,1618
4,topk10_topk210,large,expanded,2623,319.1315287838353,260,493,0.0,1618
4,topk10_topk210,large,before_conflict,2623,10.0,10,10,0.0,1618
4,topk10_topk210,large,after_conflict,2623,9.956919557758292,10,10,0.0,1618
5,topk10_topk210,small,raw,475257,4.115834169722908,2,11,0.17030154211300413,1618
5,topk10_topk210,small,expanded,475257,5.865327601697608,5,11,0.0,1618
5,topk10_topk210,small,before_conflict,475257,4.196457916453624,3,10,0.03315469314497209,1618
5,topk10_topk210,small,after_conflict,475257,3.5931737985973906,3,10,0.10823407124987112,1618
5,topk10_topk210,medium,raw,59059,50.71613132630082,38,98,0.0,1618
5,topk10_topk210,medium,expanded,59059,50.71613132630082,38,98,0.0,1618
5,topk10_topk210,medium,before_conflict,59059,9.999949203339034,10,10,0.0,1618
5,topk10_topk210,medium,after_conflict,59059,9.813474660932288,10,10,0.00013545776257640663,1618
5,topk10_topk210,large,raw,2691,325.63730955035305,264,510,0.0,1618
5,topk10_topk210,large,expanded,2691,325.63730955035305,264,510,0.0,1618
5,topk10_topk210,large,before_conflict,2691,10.0,10,10,0.0,1618
5,topk10_topk210,large,after_conflict,2691,9.982162764771461,10,10,0.0,1618
6,topk10_topk210,small,raw,476359,4.131887924863391,2,11,0.16673559227389426,1618
6,topk10_topk210,small,expanded,476359,5.856780285456977,5,11,0.0,1618
6,topk10_topk210,small,before_conflict,476359,4.204509624044051,3,10,0.030346860246158885,1618
6,topk10_topk210,small,after_conflict,476359,3.6033453760714083,3,10,0.10346188483895549,1618
6,topk10_topk210,medium,raw,59390,50.983684121906045,38,99,0.0,1618
6,topk10_topk210,medium,expanded,59390,50.983684121906045,38,99,0.0,1618
6,topk10_topk210,medium,before_conflict,59390,9.99998316214851,10,10,0.0,1618
6,topk10_topk210,medium,after_conflict,59390,9.813739686815962,10,10,0.00020205421788179828,1618
6,topk10_topk210,large,raw,2767,324.1232381640766,264,519,0.0,1618
6,topk10_topk210,large,expanded,2767,324.1232381640766,264,519,0.0,1618
6,topk10_topk210,large,before_conflict,2767,10.0,10,10,0.0,1618
6,topk10_topk210,large,after_conflict,2767,9.956631731116733,10,10,0.0,1618
7,topk10_topk210,small,raw,475979,4.154128648532813,2,11,0.16698215677582415,1618
7,topk10_topk210,small,expanded,475979,5.877624853197305,5,11,0.0,1618
7,topk10_topk210,small,before_conflict,475979,4.202275730651983,3,10,0.029152546645965473,1618
7,topk10_topk210,small,after_conflict,475979,3.614056502492757,3,10,0.10116412698879572,1618
7,topk10_topk210,medium,raw,60247,50.486663236343716,38,98,1.6598336846647966e-05,1618
7,topk10_topk210,medium,expanded,60247,50.4880077016283,38,98,0.0,1618
7,topk10_topk210,medium,before_conflict,60247,9.999917008315768,10,10,0.0,1618
7,topk10_topk210,medium,after_conflict,60247,9.821468288877455,10,10,0.00016598336846647966,1618
7,topk10_topk210,large,raw,2677,324.2413149047441,263,497,0.0,1618
7,topk10_topk210,large,expanded,2677,324.2413149047441,263,497,0.0,1618
7,topk10_topk210,large,before_conflict,2677,10.0,10,10,0.0,1618
7,topk10_topk210,large,after_conflict,2677,9.964886066492342,10,10,0.0,1618
8,topk10_topk210,small,raw,478053,4.125176497166632,2,11,0.1679750989952997,1618
8,topk10_topk210,small,expanded,478053,5.859800064009639,5,11,0.0,1618
8,topk10_topk210,small,before_conflict,478053,4.188029360761255,3,10,0.028570053947993213,1618
8,topk10_topk210,small,after_conflict,478053,3.597433757344897,3,10,0.10307643713144776,1618
8,topk10_topk210,medium,raw,59910,50.82804206309464,38,99,0.0,1618
8,topk10_topk210,medium,expanded,59910,50.82820898013687,38,99,0.0,1618
8,topk10_topk210,medium,before_conflict,59910,9.999933233183109,10,10,0.0,1618
8,topk10_topk210,medium,after_conflict,59910,9.838524453346686,10,10,0.00015022533800701052,1618
8,topk10_topk210,large,raw,2672,322.3985778443114,264,512,0.0,1618
8,topk10_topk210,large,expanded,2672,322.3985778443114,264,512,0.0,1618
8,topk10_topk210,large,before_conflict,2672,10.0,10,10,0.0,1618
8,topk10_topk210,large,after_conflict,2672,9.979790419161677,10,10,0.00037425149700598805,1618
9,topk10_topk210,small,raw,477400,4.093583996648513,2,11,0.17036237955592795,1618
9,topk10_topk210,small,expanded,477400,5.8448868873062425,5,11,0.0,1618
9,topk10_topk210,small,before_conflict,477400,4.145919564306661,3,10,0.029750733137829912,1618
9,topk10_topk210,small,after_conflict,477400,3.5638290741516547,3,9,0.10319229157938835,1618
9,topk10_topk210,medium,raw,58738,50.69854268105826,38,98,0.0,1618
9,topk10_topk210,medium,expanded,58738,50.69854268105826,38,98,0.0,1618
9,topk10_topk210,medium,before_conflict,58738,9.999965950492015,10,10,0.0,1618
9,topk10_topk210,medium,after_conflict,58738,9.836068643808098,10,10,0.00023834655589226737,1618
9,topk10_topk210,large,raw,2485,325.784708249497,260,512,0.0,1618
9,topk10_topk210,large,expanded,2485,325.784708249497,260,512,0.0,1618
9,topk10_topk210,large,before_conflict,2485,10.0,10,10,0.0,1618
9,topk10_topk210,large,after_conflict,2485,9.967404426559357,10,10,0.0,1618
10,topk10_topk210,small,raw,474087,4.1711394744002686,2,11,0.1683172076011365,1618
10,topk10_topk210,small,expanded,474087,5.896672973525956,5,11,0.0,1618
10,topk10_topk210,small,before_conflict,474087,4.199244020612251,3,10,0.028534846979562822,1618
10,topk10_topk210,small,after_conflict,474087,3.612784151432121,3,10,0.10078529890083465,1618
10,topk10_topk210,medium,raw,59725,50.75412306404353,38,98,0.0,1618
10,topk10_topk210,medium,expanded,59725,50.75393888656342,38,98,0.0,1618
10,topk10_topk210,medium,before_conflict,59725,9.999815822519883,10,10,0.0,1618
10,topk10_topk210,medium,after_conflict,59725,9.841707827542905,10,10,0.00020092088740058603,1618
10,topk10_topk210,large,raw,2773,312.06382978723406,258,479,0.0,1618
10,topk10_topk210,large,expanded,2773,312.06382978723406,258,479,0.0,1618
10,topk10_topk210,large,before_conflict,2773,10.0,10,10,0.0,1618
10,topk10_topk210,large,after_conflict,2773,9.967904796249549,10,10,0.0003606202668589975,1618
11,topk10_topk210,small,raw,482113,4.107887569926553,2,11,0.16961791115360922,1618
11,topk10_topk210,small,expanded,482113,5.855247628667968,5,11,0.0,1618
