epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,1013.41,4.79109,5.25137,3.77236,1.08764,0.52044,0.02549,0.00603,0.00165,3.35418,3.28338,2.2546,0,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00499691,0.00166564,0.0199876,0.00666255
2,1707.5,2.86971,2.74825,1.77333,1.00096,0.03753,0.17103,0.04664,0.01929,2.45155,2.25519,1.44076,0,0.0198289,0.00660962,0.0198289,0.00660962,0.0198289,0.00660962,0.0198289,0.00660962,0.00991444,0.00330481,0.0396577,0.0132192
3,2403.74,2.41671,2.2929,1.434,1.00119,0.34453,0.12213,0.07067,0.03126,2.20473,1.94718,1.34861,0,0.0294989,0.00983297,0.0294989,0.00983297,0.0294989,0.00983297,0.0294989,0.00983297,0.0147495,0.00491649,0.0589978,0.0196659
4,3106.95,2.23104,2.0845,1.31528,0.99901,0.25916,0.14969,0.09414,0.04385,2.03923,1.78384,1.23337,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0146287,0.00487625,0.058515,0.019505
5,3769.75,2.087,1.91912,1.24881,0.99841,0.26639,0.17862,0.10339,0.04938,1.94474,1.70221,1.19095,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.014505,0.004835,0.05802,0.01934
6,4411.29,2.00688,1.82085,1.21266,0.99854,0.19083,0.19655,0.12645,0.0617,1.8832,1.59791,1.16369,0,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0143812,0.00479375,0.057525,0.019175
7,5069.63,1.9415,1.72652,1.18068,0.99792,0.21802,0.20253,0.14221,0.07172,1.79768,1.53198,1.13819,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.0142575,0.0047525,0.05703,0.01901
8,5754.2,1.8954,1.66813,1.16261,0.9992,0.23911,0.20519,0.15451,0.07808,1.76892,1.49805,1.12192,0,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0141338,0.00471125,0.056535,0.018845
9,6456.57,1.86397,1.61695,1.14195,0.99851,0.25723,0.22339,0.16662,0.08562,1.70973,1.4185,1.10788,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.01401,0.00467,0.05604,0.01868
10,7167.95,1.8313,1.57733,1.13588,0.99871,0.25918,0.22442,0.172,0.08874,1.7036,1.41914,1.10431,0,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0138863,0.00462875,0.055545,0.018515
11,7830.95,1.80127,1.53072,1.1181,0.99901,0.26805,0.241,0.18108,0.09486,1.66702,1.38181,1.08455,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.0137625,0.0045875,0.05505,0.01835
12,8495.71,1.77771,1.50578,1.10821,0.99881,0.32021,0.24943,0.19946,0.10478,1.64887,1.34421,1.0819,0,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0136387,0.00454625,0.054555,0.018185
13,9211.35,1.74509,1.46151,1.09995,0.99918,0.29684,0.25147,0.20045,0.10538,1.63437,1.34115,1.07015,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.013515,0.004505,0.05406,0.01802
