phase,assigner_call,sample_index,gt_index,area_px,area_bin,positive_count
train,0,0,0,62.93749237060547,small,3
train,0,0,1,310.7715148925781,small,5
train,0,0,2,1140.3494873046875,medium,10
train,0,0,3,422.08453369140625,small,7
train,0,0,4,2755.05908203125,medium,10
train,0,0,5,27.192323684692383,small,0
train,0,0,6,21.364376068115234,small,0
train,0,0,7,12.23581314086914,small,0
train,0,0,8,10.875923156738281,small,0
train,0,0,9,34.18645477294922,small,1
train,0,0,10,32.049224853515625,small,1
train,0,0,11,15.733039855957031,small,1
train,0,0,12,13.984277725219727,small,0
train,0,1,0,6816.50537109375,medium,10
train,0,1,1,1683.5150146484375,medium,10
train,0,1,2,1646.141357421875,medium,10
train,0,1,3,3469.84765625,medium,10
train,0,1,4,2948.7177734375,medium,10
train,0,1,5,3354.304931640625,medium,10
train,0,1,6,1701.01220703125,medium,10
train,0,1,7,1769.3863525390625,medium,10
train,0,1,8,1713.4476318359375,medium,10
train,0,1,9,1391.933349609375,medium,10
train,0,1,10,1764.35791015625,medium,10
train,0,1,11,996.6757202148438,small,10
train,0,1,12,888.0123291015625,small,10
train,0,1,13,865.226806640625,small,10
train,0,1,14,496.22113037109375,small,8
train,0,1,15,1024.2757568359375,medium,8
train,0,1,16,2035.78271484375,medium,10
train,0,1,17,1730.169677734375,medium,9
train,0,1,18,1183.3104248046875,medium,10
train,0,1,19,152.6923065185547,small,3
train,0,1,20,257.65045166015625,small,5
train,0,1,21,305.364990234375,small,5
train,0,1,22,185.55868530273438,small,3
train,0,1,23,432.6138610839844,small,9
train,0,1,24,278.3301086425781,small,6
train,0,1,25,472.3710021972656,small,9
train,0,1,26,164.35256958007812,small,2
train,0,1,27,229.02374267578125,small,2
train,0,1,28,369.5274353027344,small,8
train,0,1,29,166.995849609375,small,5
train,0,1,30,181.3093719482422,small,3
train,0,1,31,749.9188232421875,small,10
train,0,1,32,3015.55908203125,medium,10
train,0,1,33,868.3971557617188,small,10
train,0,1,34,209.93588256835938,small,1
train,0,2,0,116.91612243652344,small,6
train,0,2,1,165.71836853027344,small,6
train,0,2,2,774.5348510742188,small,10
train,0,2,3,389.7177429199219,small,5
train,0,2,4,271.1640625,small,0
train,0,2,5,64.95199584960938,small,3
train,0,2,6,74.23445129394531,small,3
train,0,2,7,29.80207061767578,small,2
train,0,2,8,21.614154815673828,small,1
train,0,2,9,24.126047134399414,small,4
train,0,2,10,14.192164421081543,small,2
train,0,2,11,39.30123519897461,small,3
train,0,2,12,80.89080810546875,small,4
train,0,2,13,100.4346694946289,small,4
train,0,2,14,43.230323791503906,small,0
train,0,2,15,42.02780532836914,small,0
train,0,2,16,356.3194885253906,small,9
train,0,3,0,22.425247192382812,small,3
train,0,3,1,26.16448402404785,small,2
train,0,3,2,12.615421295166016,small,0
train,0,3,3,18.687427520751953,small,0
train,0,3,4,25.693408966064453,small,0
train,0,3,5,14.950275421142578,small,0
train,0,3,6,16.818391799926758,small,0
train,0,3,7,292.9383239746094,small,4
train,0,3,8,224.2681884765625,small,5
train,0,3,9,176.140380859375,small,4
train,0,3,10,196.23204040527344,small,4
train,0,3,11,203.24295043945312,small,4
train,0,3,12,224.26815795898438,small,4
train,0,3,13,224.2694854736328,small,4
train,0,3,14,143.89773559570312,small,3
train,0,3,15,216.78607177734375,small,7
train,0,3,16,196.23609924316406,small,2
train,0,3,17,151.8566131591797,small,5
train,0,3,18,139.70484924316406,small,3
train,0,3,19,230.33151245117188,small,4
train,0,3,20,196.2373504638672,small,4
train,0,3,21,231.74195861816406,small,4
train,0,3,22,231.74229431152344,small,4
train,0,3,23,201.84078979492188,small,5
train,0,3,24,196.23641967773438,small,2
train,0,3,25,182.21533203125,small,4
train,0,3,26,163.99728393554688,small,2
train,0,3,27,175.2099151611328,small,3
train,0,3,28,150.4459991455078,small,3
train,0,3,29,182.21583557128906,small,2
train,0,3,30,168.20938110351562,small,2
train,0,3,31,170.06924438476562,small,2
train,0,3,32,176.6077880859375,small,4
train,0,3,33,163.52197265625,small,4
train,0,3,34,189.68470764160156,small,2
train,0,3,35,443.87139892578125,small,10
train,0,3,36,29.433208465576172,small,4
train,0,3,37,176.1417694091797,small,3
train,0,3,38,176.6087188720703,small,4
train,0,3,39,11.214208602905273,small,0
train,0,3,40,16.35148811340332,small,3
train,0,3,41,11.213541030883789,small,0
train,0,3,42,23.362308502197266,small,0
train,1,0,0,499.78582763671875,small,9
train,1,0,1,254.25601196289062,small,5
train,1,0,2,226.64715576171875,small,5
train,1,0,3,604.7608642578125,small,10
train,1,0,4,426.06011962890625,small,10
train,1,0,5,319.629638671875,small,9
train,1,0,6,110.42124938964844,small,1
train,1,0,7,926.9337158203125,small,9
train,1,0,8,1080.9312744140625,medium,10
train,1,0,9,324.3473815917969,small,3
train,1,0,10,331.2542419433594,small,3
train,1,0,11,389.0082092285156,small,2
train,1,0,12,343.6084289550781,small,8
train,1,0,13,463.46417236328125,small,10
train,1,0,14,135.84071350097656,small,3
train,1,0,15,81.3599853515625,small,3
train,1,0,16,26.151535034179688,small,0
train,1,0,17,1394.7623291015625,medium,10
train,1,0,18,1468.1387939453125,medium,10
