epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,1475.31,4.8798,5.32082,3.8225,1.08761,0.61892,0.02337,0.0063,0.00171,3.37453,3.27315,2.20853,0,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00499691,0.00166564,0.0199876,0.00666255
2,2323.79,2.90997,2.73132,1.75058,1.00099,0.04248,0.1611,0.04331,0.01733,2.58126,2.32911,1.42236,0,0.0198289,0.00660962,0.0198289,0.00660962,0.0198289,0.00660962,0.0198289,0.00660962,0.00991444,0.00330481,0.0396577,0.0132192
3,3161.26,2.45636,2.28085,1.3881,1.00129,0.33388,0.13149,0.07404,0.03261,2.21254,1.93218,1.28523,0,0.0294989,0.00983297,0.0294989,0.00983297,0.0294989,0.00983297,0.0294989,0.00983297,0.0147495,0.00491649,0.0589978,0.0196659
4,3958.91,2.25424,2.07517,1.2616,0.99874,0.26879,0.14812,0.09304,0.04289,2.08274,1.80264,1.18474,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0146287,0.00487625,0.058515,0.019505
5,4749.54,2.11187,1.91124,1.19517,0.99847,0.26525,0.16463,0.09212,0.04363,2.0141,1.77932,1.15496,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.014505,0.004835,0.05802,0.01934
6,5491.23,2.03601,1.82341,1.16102,0.99853,0.20152,0.18569,0.12396,0.0599,1.92731,1.61038,1.1221,0,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0143812,0.00479375,0.057525,0.019175
7,6234.08,1.97332,1.73343,1.13107,0.99794,0.21224,0.2012,0.13808,0.06896,1.827,1.55309,1.08722,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.0142575,0.0047525,0.05703,0.01901
8,6964.04,1.92927,1.6733,1.11377,0.99911,0.27832,0.20799,0.16287,0.08343,1.78565,1.46559,1.07655,0,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0141338,0.00471125,0.056535,0.018845
9,7704.35,1.8947,1.62137,1.09163,0.9985,0.25858,0.22008,0.16843,0.08732,1.74841,1.45194,1.05868,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.01401,0.00467,0.05604,0.01868
10,8421.05,1.85944,1.584,1.08539,0.99869,0.27434,0.22939,0.18116,0.0944,1.72627,1.41782,1.05121,0,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0138863,0.00462875,0.055545,0.018515
11,9094.92,1.83497,1.53881,1.06936,0.99918,0.25598,0.23043,0.17055,0.08986,1.74349,1.44936,1.04396,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.0137625,0.0045875,0.05505,0.01835
12,9766.86,1.81013,1.51625,1.05774,0.99862,0.40306,0.24292,0.19393,0.10254,1.70735,1.41127,1.03026,0,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0136387,0.00454625,0.054555,0.018185
13,10443.3,1.78624,1.47939,1.04987,0.99926,0.28738,0.24893,0.18845,0.09987,1.69425,1.40406,1.01648,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.013515,0.004505,0.05406,0.01802
14,11120.7,1.78237,1.47291,1.04287,0.999,0.43541,0.2509,0.22421,0.11842,1.65657,1.32706,1.01499,0,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0133912,0.00446375,0.053565,0.017855
15,11806.7,1.76957,1.45117,1.03596,0.99939,0.31155,0.26467,0.22045,0.11565,1.66081,1.31943,1.00908,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.0132675,0.0044225,0.05307,0.01769
16,12480.1,1.76773,1.43546,1.02636,0.9992,0.37259,0.26287,0.22917,0.12195,1.64997,1.31487,0.99941,0,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0131437,0.00438125,0.052575,0.017525
17,13153.4,1.74864,1.42635,1.02402,0.99957,0.3693,0.26749,0.23733,0.12769,1.62521,1.28517,0.98924,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.01302,0.00434,0.05208,0.01736
18,13842.7,1.74735,1.41042,1.01529,0.9994,0.3592,0.27064,0.23944,0.12879,1.61754,1.27348,0.9881,0,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0128962,0.00429875,0.051585,0.017195
19,14521.1,1.72616,1.39513,1.00742,0.99943,0.36483,0.27377,0.24426,0.13224,1.61664,1.27137,0.98659,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.0127725,0.0042575,0.05109,0.01703
20,15203.9,1.73374,1.39222,1.00576,0.99972,0.38131,0.27628,0.24502,0.13262,1.60648,1.26595,0.98172,0,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0126488,0.00421625,0.050595,0.016865
