epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,799.646,4.79109,5.25137,3.77236,1.08764,0.52044,0.02549,0.00603,0.00165,3.35418,3.28338,2.2546,0,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00499691,0.00166564,0.0199876,0.00666255
2,1429.88,2.88701,2.7619,1.78492,1.00103,0.04267,0.17256,0.04706,0.02012,2.43565,2.22952,1.45459,0,0.0190041,0.00633471,0.0190041,0.00633471,0.0190041,0.00633471,0.0190041,0.00633471,0.00950206,0.00316735,0.0380083,0.0126694
3,2024.49,2.42392,2.30187,1.43931,1.00133,0.23148,0.12546,0.07514,0.03321,2.18447,1.94287,1.33,0,0.0270244,0.00900814,0.0270244,0.00900814,0.0270244,0.00900814,0.0270244,0.00900814,0.0135122,0.00450407,0.0540489,0.0180163
4,2618.51,2.2315,2.0835,1.31886,0.99899,0.25523,0.14762,0.09442,0.04431,2.02232,1.79609,1.2307,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.0127725,0.0042575,0.05109,0.01703
5,3202.34,2.09013,1.91891,1.25282,0.99873,0.27234,0.16142,0.10147,0.04913,1.96857,1.72958,1.1976,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.01203,0.00401,0.04812,0.01604
6,3783.6,2.01283,1.82883,1.21881,0.99889,0.19806,0.18708,0.11975,0.0597,1.9248,1.65069,1.17863,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.0112875,0.0037625,0.04515,0.01505
7,4368.01,1.94282,1.73412,1.18532,0.99832,0.2069,0.20749,0.14208,0.07177,1.79295,1.53476,1.13837,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.010545,0.003515,0.04218,0.01406
8,4957.9,1.89816,1.67115,1.1674,0.9995,0.2429,0.2066,0.1595,0.08101,1.76905,1.4737,1.12554,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.0098025,0.0032675,0.03921,0.01307
9,5544.92,1.86522,1.62173,1.14675,0.99892,0.25846,0.22049,0.16787,0.08546,1.73141,1.43036,1.1147,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.00906,0.00302,0.03624,0.01208
10,6138.61,1.82929,1.58104,1.1408,0.99907,0.24688,0.23236,0.17003,0.08773,1.72036,1.43499,1.11376,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.0083175,0.0027725,0.03327,0.01109
11,6694.71,1.76733,1.54412,1.1359,0.99954,0.25971,0.23131,0.17786,0.0931,1.71232,1.41873,1.09843,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.007575,0.002525,0.0303,0.0101
12,7224.1,1.74111,1.49394,1.12295,0.99925,0.26257,0.23617,0.18079,0.09407,1.68856,1.38122,1.09233,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.0068325,0.0022775,0.02733,0.00911
13,7756.99,1.71886,1.45786,1.10961,0.99976,0.29735,0.24571,0.194,0.10205,1.67196,1.35463,1.08488,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.00609,0.00203,0.02436,0.00812
14,8280.94,1.69486,1.42777,1.10249,0.99928,0.29508,0.24543,0.1965,0.10291,1.63496,1.32042,1.0768,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.0053475,0.0017825,0.02139,0.00713
15,8818.09,1.68003,1.39972,1.09681,0.99977,0.32272,0.25334,0.21051,0.11332,1.62719,1.29515,1.0739,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.004605,0.001535,0.01842,0.00614
16,9345.8,1.66597,1.37341,1.0905,0.99973,0.32414,0.25356,0.21692,0.11549,1.61388,1.28529,1.06818,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.0038625,0.0012875,0.01545,0.00515
17,9881.07,1.64633,1.35143,1.08246,0.99972,0.3203,0.25651,0.21758,0.11638,1.60534,1.27694,1.068,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00312,0.00104,0.01248,0.00416
18,10409.6,1.64002,1.34287,1.07969,0.99997,0.3302,0.26141,0.22272,0.11938,1.59995,1.26195,1.06435,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.0023775,0.0007925,0.00951,0.00317
19,10936.3,1.62891,1.32076,1.07365,0.99973,0.32187,0.26341,0.22416,0.12047,1.59453,1.25753,1.05932,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.001635,0.000545,0.00654,0.00218
20,11464.7,1.61713,1.30596,1.07345,1.00001,0.32365,0.26731,0.2259,0.12184,1.58667,1.24447,1.05691,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.0008925,0.0002975,0.00357,0.00119
