epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,721.955,4.8798,5.32082,3.8225,1.08761,0.61892,0.02337,0.0063,0.00171,3.37453,3.27315,2.20853,0,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00499691,0.00166564,0.0199876,0.00666255
2,1406.25,2.93397,2.75572,1.77136,1.00097,0.03578,0.16377,0.04342,0.01722,2.57292,2.30375,1.44357,0,0.0190041,0.00633471,0.0190041,0.00633471,0.0190041,0.00633471,0.0190041,0.00633471,0.00950206,0.00316735,0.0380083,0.0126694
3,2085.39,2.46978,2.2976,1.39998,1.00139,0.32977,0.11941,0.06779,0.03113,2.20633,1.95766,1.29315,0,0.0270244,0.00900814,0.0270244,0.00900814,0.0270244,0.00900814,0.0270244,0.00900814,0.0135122,0.00450407,0.0540489,0.0180163
4,2656.72,2.26299,2.08017,1.27132,0.99902,0.25284,0.15156,0.08446,0.03845,2.11227,1.85109,1.19483,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.0127725,0.0042575,0.05109,0.01703
5,3207.83,2.11888,1.92287,1.20276,0.99862,0.27422,0.16631,0.09743,0.0465,1.99417,1.73647,1.15221,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.01203,0.00401,0.04812,0.01604
6,3764.55,2.04258,1.83305,1.16914,0.99892,0.2005,0.17681,0.12274,0.06049,1.92993,1.62629,1.13376,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.0112875,0.0037625,0.04515,0.01505
7,4326.57,1.97448,1.74279,1.1384,0.99834,0.22888,0.20197,0.13655,0.06888,1.83287,1.57198,1.10117,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.010545,0.003515,0.04218,0.01406
8,4881.14,1.92984,1.68298,1.1206,0.99936,0.33629,0.19499,0.14675,0.07515,1.82728,1.51169,1.0898,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.0098025,0.0032675,0.03921,0.01307
9,5439.85,1.89948,1.62908,1.10108,0.99899,0.26968,0.21304,0.1662,0.08597,1.76316,1.44879,1.07125,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.00906,0.00302,0.03624,0.01208
10,6007.39,1.86439,1.59197,1.09415,0.99901,0.28409,0.21959,0.17116,0.088,1.75016,1.44391,1.06352,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.0083175,0.0027725,0.03327,0.01109
11,6535.78,1.80708,1.55762,1.09016,0.99948,0.25598,0.22449,0.16889,0.08798,1.75283,1.44808,1.05656,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.007575,0.002525,0.0303,0.0101
12,7065.7,1.78449,1.51145,1.07787,0.99935,0.28907,0.22955,0.18528,0.09642,1.72201,1.38414,1.05075,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.0068325,0.0022775,0.02733,0.00911
13,7588.67,1.76309,1.47787,1.0657,0.99958,0.3361,0.22817,0.18859,0.09832,1.70863,1.38177,1.04297,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.00609,0.00203,0.02436,0.00812
14,8122.39,1.74074,1.44785,1.06004,0.99936,0.31475,0.24118,0.19641,0.1029,1.68183,1.34469,1.0369,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.0053475,0.0017825,0.02139,0.00713
15,8649.71,1.72535,1.41957,1.05346,0.99988,0.30842,0.24329,0.20241,0.1077,1.6736,1.32763,1.02883,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.004605,0.001535,0.01842,0.00614
16,9180.46,1.71298,1.39853,1.04794,0.99954,0.32561,0.25045,0.21292,0.11233,1.66743,1.31722,1.02903,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.0038625,0.0012875,0.01545,0.00515
17,9709.48,1.6954,1.37565,1.04177,0.99994,0.31767,0.25503,0.20891,0.11113,1.66006,1.31071,1.02663,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00312,0.00104,0.01248,0.00416
18,10237.2,1.69038,1.3674,1.0384,0.99982,0.35476,0.25008,0.21635,0.11437,1.6458,1.28514,1.0214,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.0023775,0.0007925,0.00951,0.00317
19,10776,1.67812,1.34522,1.03234,0.9997,0.34152,0.25567,0.2191,0.11604,1.64096,1.28101,1.01911,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.001635,0.000545,0.00654,0.00218
20,11383.8,1.6659,1.33136,1.03222,1.0002,0.35025,0.25668,0.2234,0.11902,1.63599,1.27454,1.01761,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.0008925,0.0002975,0.00357,0.00119
