epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,757.682,4.75317,5.15836,3.68349,1.08754,0.42949,0.02777,0.01194,0.00353,3.20719,2.88311,2.08418,0,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00499691,0.00166564,0.0199876,0.00666255
2,1401.54,2.82331,2.64034,1.67596,1.00105,0.08597,0.13025,0.05226,0.02232,2.37926,2.15687,1.37608,0,0.0190041,0.00633471,0.0190041,0.00633471,0.0190041,0.00633471,0.0190041,0.00633471,0.00950206,0.00316735,0.0380083,0.0126694
3,2118.82,2.42838,2.25735,1.37803,1.0012,0.3537,0.12249,0.07368,0.03288,2.22725,1.93416,1.30016,0,0.0270244,0.00900814,0.0270244,0.00900814,0.0270244,0.00900814,0.0270244,0.00900814,0.0135122,0.00450407,0.0540489,0.0180163
4,2857,2.24138,2.05628,1.26277,0.99923,0.28209,0.15664,0.09422,0.04396,2.06047,1.77934,1.19198,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.0127725,0.0042575,0.05109,0.01703
5,3436.82,2.10477,1.90343,1.20221,0.99858,0.27576,0.17178,0.10732,0.05257,1.96769,1.72202,1.14797,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.01203,0.00401,0.04812,0.01604
6,4011.4,2.03128,1.81559,1.17123,0.99894,0.2063,0.18877,0.12813,0.06369,1.93281,1.61365,1.13453,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.0112875,0.0037625,0.04515,0.01505
7,4589.02,1.96654,1.7257,1.14082,0.99828,0.21211,0.20963,0.14676,0.0742,1.82903,1.54005,1.09922,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.010545,0.003515,0.04218,0.01406
8,5183.88,1.92201,1.66315,1.12253,0.99944,0.27204,0.21264,0.16478,0.08457,1.79717,1.47649,1.08844,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.0098025,0.0032675,0.03921,0.01307
9,5778.18,1.89164,1.61261,1.10497,0.9988,0.28376,0.21594,0.17535,0.09031,1.75918,1.43501,1.07468,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.00906,0.00302,0.03624,0.01208
10,6339.86,1.85814,1.57201,1.09937,0.99918,0.28634,0.2309,0.18177,0.09483,1.74449,1.42208,1.067,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.0083175,0.0027725,0.03327,0.01109
11,6866.36,1.79864,1.53858,1.09625,0.99968,0.28708,0.2326,0.18672,0.09636,1.74877,1.41575,1.063,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.007575,0.002525,0.0303,0.0101
12,7395.56,1.77579,1.49093,1.08375,0.99907,0.28106,0.24052,0.19087,0.10066,1.70114,1.36794,1.04963,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.0068325,0.0022775,0.02733,0.00911
13,7924.27,1.75592,1.45651,1.07352,0.99978,0.29062,0.24522,0.19385,0.10241,1.69446,1.35818,1.04402,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.00609,0.00203,0.02436,0.00812
14,8448.14,1.73368,1.42866,1.06637,0.99938,0.30679,0.25049,0.20415,0.10807,1.67553,1.32993,1.03865,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.0053475,0.0017825,0.02139,0.00713
15,8985.44,1.71862,1.40096,1.0599,0.99982,0.31649,0.25632,0.21472,0.11448,1.67328,1.31233,1.03889,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.004605,0.001535,0.01842,0.00614
16,9512.11,1.70745,1.37813,1.0551,0.99953,0.31138,0.25738,0.22044,0.11709,1.66596,1.29587,1.03502,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.0038625,0.0012875,0.01545,0.00515
17,10041.8,1.68757,1.35692,1.04733,0.99994,0.31972,0.26357,0.22029,0.11802,1.65594,1.28978,1.02907,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00312,0.00104,0.01248,0.00416
18,10565.9,1.68285,1.34837,1.04395,0.99974,0.32337,0.25926,0.22542,0.12017,1.64308,1.27167,1.02781,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.0023775,0.0007925,0.00951,0.00317
19,11098.8,1.67284,1.3292,1.0387,0.99981,0.32977,0.2609,0.22791,0.12247,1.63947,1.26893,1.02283,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.001635,0.000545,0.00654,0.00218
20,11625.9,1.66167,1.31464,1.03852,1.00008,0.32465,0.26597,0.22866,0.12274,1.63487,1.26406,1.02036,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.0008925,0.0002975,0.00357,0.00119
