epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,731.449,4.96987,5.45596,3.93246,1.08768,0.11224,0.0189,0.00424,0.00105,3.53377,3.60019,2.44207,0,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00499691,0.00166564,0.0199876,0.00666255
2,1335.64,2.9934,2.86108,1.84154,1.001,0.18472,0.10022,0.04708,0.01952,2.4375,2.23483,1.42769,0,0.0190041,0.00633471,0.0190041,0.00633471,0.0190041,0.00633471,0.0190041,0.00633471,0.00950206,0.00316735,0.0380083,0.0126694
3,1899.64,2.46168,2.31767,1.41191,1.00138,0.31862,0.1215,0.067,0.02844,2.25983,1.98776,1.31141,0,0.0270244,0.00900814,0.0270244,0.00900814,0.0270244,0.00900814,0.0270244,0.00900814,0.0135122,0.00450407,0.0540489,0.0180163
4,2456.36,2.2592,2.09116,1.28283,0.99885,0.27456,0.15608,0.09307,0.04352,2.06189,1.82683,1.19785,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.0127725,0.0042575,0.05109,0.01703
5,3016.55,2.1152,1.91983,1.21662,0.99875,0.19299,0.17321,0.10524,0.04961,2.01084,1.73191,1.16817,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.01203,0.00401,0.04812,0.01604
6,3567.96,2.0402,1.82706,1.18328,0.99881,0.20545,0.19128,0.12689,0.06157,1.92612,1.62791,1.14014,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.0112875,0.0037625,0.04515,0.01505
7,4125.64,1.97388,1.73674,1.15232,0.99833,0.22294,0.20516,0.14389,0.07218,1.82728,1.55523,1.11023,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.010545,0.003515,0.04218,0.01406
8,4687.97,1.9229,1.67456,1.13217,0.99944,0.35561,0.21407,0.16417,0.08299,1.79724,1.48187,1.09947,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.0098025,0.0032675,0.03921,0.01307
9,5244.6,1.8928,1.62467,1.11334,0.99883,0.26344,0.22449,0.16623,0.08586,1.76308,1.44993,1.08308,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.00906,0.00302,0.03624,0.01208
10,5794.07,1.85922,1.58277,1.10682,0.99915,0.274,0.23533,0.17334,0.08929,1.74473,1.43007,1.07833,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.0083175,0.0027725,0.03327,0.01109
11,6317.94,1.79651,1.54992,1.1041,0.99947,0.27861,0.23229,0.17478,0.09186,1.7442,1.44446,1.07014,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.007575,0.002525,0.0303,0.0101
12,6849.49,1.77331,1.50237,1.09141,0.99934,0.27935,0.23059,0.18283,0.09559,1.70701,1.38823,1.0587,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.0068325,0.0022775,0.02733,0.00911
13,7370.88,1.75215,1.46717,1.07926,0.99954,0.30364,0.23903,0.19563,0.10228,1.69043,1.36451,1.05357,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.00609,0.00203,0.02436,0.00812
14,7975.92,1.72939,1.43844,1.07295,0.99936,0.32077,0.24423,0.20401,0.10779,1.66873,1.33738,1.04953,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.0053475,0.0017825,0.02139,0.00713
15,8688.88,1.71046,1.40938,1.06524,0.99998,0.32087,0.25245,0.20973,0.11159,1.66252,1.31079,1.04612,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.004605,0.001535,0.01842,0.00614
16,9341.71,1.69913,1.38534,1.05995,0.99957,0.31803,0.25091,0.2181,0.11567,1.65307,1.30436,1.04255,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.0038625,0.0012875,0.01545,0.00515
17,9943.83,1.68209,1.36409,1.0541,0.99975,0.32529,0.25709,0.21678,0.11601,1.64074,1.29352,1.03704,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00312,0.00104,0.01248,0.00416
18,10521.6,1.6757,1.35469,1.0497,0.99984,0.32294,0.26326,0.22272,0.11816,1.6374,1.27566,1.03489,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.0023775,0.0007925,0.00951,0.00317
19,11091.7,1.66396,1.33313,1.04382,0.99987,0.33924,0.25848,0.22511,0.11977,1.62972,1.27066,1.034,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.001635,0.000545,0.00654,0.00218
20,11690.9,1.65185,1.31667,1.04391,0.99992,0.33475,0.26691,0.23004,0.12297,1.62274,1.26126,1.03156,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.0008925,0.0002975,0.00357,0.00119
