epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,985.905,4.82346,5.29656,3.79664,1.08761,0.5248,0.02492,0.00894,0.00271,3.25686,3.06983,2.20037,0,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00499691,0.00166564,0.0199876,0.00666255
2,1738.18,2.85708,2.69903,1.73724,1.00103,0.15705,0.12056,0.03776,0.01362,2.81901,2.57139,1.50263,0,0.0190041,0.00633471,0.0190041,0.00633471,0.0190041,0.00633471,0.0190041,0.00633471,0.00950206,0.00316735,0.0380083,0.0126694
3,2468.42,2.45143,2.28415,1.41351,1.00131,0.33618,0.12332,0.06555,0.02729,2.32528,2.01292,1.38653,0,0.0270244,0.00900814,0.0270244,0.00900814,0.0270244,0.00900814,0.0270244,0.00900814,0.0135122,0.00450407,0.0540489,0.0180163
4,3066.83,2.25419,2.07049,1.29447,0.99902,0.28343,0.15455,0.09351,0.04386,2.0594,1.81606,1.21188,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.0127725,0.0042575,0.05109,0.01703
5,3649.37,2.11083,1.90904,1.22978,0.99878,0.27677,0.17112,0.10396,0.04973,2.00096,1.74448,1.18348,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.01203,0.00401,0.04812,0.01604
6,4219.18,2.03509,1.81766,1.19601,0.99888,0.19745,0.17885,0.11588,0.05536,2.044,1.65251,1.19307,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.0112875,0.0037625,0.04515,0.01505
7,4800.26,1.96709,1.72986,1.16508,0.99831,0.21882,0.20549,0.14196,0.07123,1.82657,1.54801,1.12759,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.010545,0.003515,0.04218,0.01406
8,5366.75,1.9224,1.66975,1.14727,0.99945,0.24924,0.21032,0.15907,0.08064,1.80625,1.48345,1.11619,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.0098025,0.0032675,0.03921,0.01307
9,5947.5,1.89011,1.62245,1.12792,0.99891,0.26612,0.22116,0.17062,0.08835,1.74444,1.44409,1.09548,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.00906,0.00302,0.03624,0.01208
10,6509.57,1.85555,1.58175,1.12256,0.99915,0.26853,0.23675,0.17665,0.09081,1.73776,1.43033,1.09101,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.0083175,0.0027725,0.03327,0.01109
11,7053.93,1.78846,1.54102,1.11895,0.99946,0.26515,0.23278,0.17837,0.09336,1.73399,1.43255,1.0813,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.007575,0.002525,0.0303,0.0101
12,7582.73,1.76378,1.49414,1.106,0.99931,0.27984,0.23629,0.18916,0.0983,1.71114,1.37462,1.07623,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.0068325,0.0022775,0.02733,0.00911
13,8111.58,1.7472,1.45419,1.09445,0.99957,0.3088,0.24488,0.19968,0.10557,1.67688,1.3488,1.06739,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.00609,0.00203,0.02436,0.00812
14,8640.78,1.72301,1.42809,1.08781,0.99943,0.3033,0.25273,0.20123,0.1058,1.6604,1.3352,1.06297,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.0053475,0.0017825,0.02139,0.00713
15,9173.76,1.70508,1.39701,1.08092,0.99995,0.32208,0.25336,0.21076,0.11239,1.65206,1.30516,1.05872,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.004605,0.001535,0.01842,0.00614
16,9709.72,1.69358,1.37696,1.07568,0.99963,0.3221,0.25411,0.22054,0.1173,1.64256,1.30058,1.05396,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.0038625,0.0012875,0.01545,0.00515
17,10242.2,1.67338,1.35357,1.06806,0.99971,0.3265,0.26349,0.22281,0.11957,1.62657,1.28615,1.0493,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00312,0.00104,0.01248,0.00416
18,10788.7,1.66778,1.3433,1.06459,0.99979,0.33152,0.26345,0.22419,0.11924,1.61891,1.26715,1.04562,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.0023775,0.0007925,0.00951,0.00317
19,11316.6,1.65716,1.32098,1.05948,0.99986,0.32656,0.26339,0.22554,0.12127,1.6172,1.26503,1.04403,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.001635,0.000545,0.00654,0.00218
20,11847.2,1.64368,1.30631,1.05914,1.00003,0.33583,0.26645,0.23171,0.12422,1.61074,1.25546,1.04303,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.0008925,0.0002975,0.00357,0.00119
