epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,1062.28,4.86844,5.38486,3.86891,1.08761,0.61551,0.0212,0.00665,0.00201,3.33977,3.28212,2.30235,0,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00499691,0.00166564,0.0199876,0.00666255
2,1878.71,2.87619,2.83008,1.82813,1.00103,0.27547,0.12508,0.04788,0.0206,2.34836,2.2789,1.44916,0,0.0198289,0.00660962,0.0198289,0.00660962,0.0198289,0.00660962,0.0198289,0.00660962,0.00991444,0.00330481,0.0396577,0.0132192
3,2657.52,2.37645,2.3276,1.46738,1.00135,0.33577,0.1254,0.07009,0.03049,2.1207,2.00791,1.35732,0,0.0294989,0.00983297,0.0294989,0.00983297,0.0294989,0.00983297,0.0294989,0.00983297,0.0147495,0.00491649,0.0589978,0.0196659
4,3409,2.1578,2.08911,1.33816,0.99885,0.27335,0.14268,0.08953,0.04183,2.00646,1.806,1.25237,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0146287,0.00487625,0.058515,0.019505
5,4168.52,2.00843,1.91375,1.26766,0.99834,0.21279,0.16775,0.10284,0.04942,1.90616,1.73018,1.21341,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.014505,0.004835,0.05802,0.01934
6,4922.03,1.92343,1.80552,1.23054,0.99873,0.24003,0.17099,0.12201,0.06037,1.83618,1.6114,1.18484,0,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0143812,0.00479375,0.057525,0.019175
7,5679.71,1.85598,1.7129,1.19853,0.9979,0.22505,0.20566,0.13897,0.07069,1.73065,1.53572,1.15074,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.0142575,0.0047525,0.05703,0.01901
8,6433,1.80917,1.64835,1.17928,0.99919,0.24201,0.207,0.15339,0.0783,1.69192,1.48036,1.13462,0,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0141338,0.00471125,0.056535,0.018845
9,7192.28,1.77261,1.59337,1.15857,0.99861,0.27149,0.22118,0.1756,0.09013,1.65366,1.40545,1.12293,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.01401,0.00467,0.05604,0.01868
10,7961.39,1.74039,1.54908,1.15115,0.99859,0.26841,0.2243,0.17207,0.08957,1.64192,1.40172,1.12512,0,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0138863,0.00462875,0.055545,0.018515
11,8719.54,1.70654,1.50416,1.13214,0.99907,0.26848,0.24002,0.17905,0.09524,1.59584,1.39295,1.0962,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.0137625,0.0045875,0.05505,0.01835
12,9477.44,1.68392,1.47585,1.12262,0.99868,0.28297,0.24856,0.19769,0.10576,1.58244,1.34235,1.09452,0,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0136387,0.00454625,0.054555,0.018185
13,10232.6,1.6517,1.43259,1.11295,0.99936,0.297,0.24892,0.19843,0.10674,1.56413,1.32186,1.08211,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.013515,0.004505,0.05406,0.01802
14,10990.5,1.64286,1.42274,1.1071,0.99889,0.31241,0.25501,0.21093,0.11251,1.55289,1.28157,1.07837,0,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0133912,0.00446375,0.053565,0.017855
15,11754.6,1.62752,1.39582,1.10127,0.99955,0.30727,0.26771,0.21973,0.11812,1.52384,1.24887,1.07349,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.0132675,0.0044225,0.05307,0.01769
16,12514.3,1.61689,1.3726,1.09162,0.9992,0.3196,0.25839,0.225,0.12232,1.51634,1.24579,1.0615,0,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0131437,0.00438125,0.052575,0.017525
17,13281.4,1.60822,1.36503,1.08996,0.99935,0.33302,0.27377,0.23554,0.12819,1.51129,1.23154,1.05377,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.01302,0.00434,0.05208,0.01736
18,14037.8,1.61497,1.36062,1.0815,0.99949,0.33093,0.27579,0.2367,0.12928,1.50477,1.23023,1.05214,0,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0128962,0.00429875,0.051585,0.017195
19,14804,1.60354,1.34955,1.07353,0.99934,0.35206,0.27731,0.24599,0.13524,1.4995,1.21525,1.04513,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.0127725,0.0042575,0.05109,0.01703
20,15563.5,1.61045,1.34815,1.07108,0.99985,0.34191,0.28734,0.25026,0.13736,1.49207,1.21117,1.04034,0,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0126488,0.00421625,0.050595,0.016865
21,16315.1,1.59683,1.33097,1.06358,0.99949,0.34607,0.28476,0.25235,0.13966,1.48894,1.21445,1.03275,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.012525,0.004175,0.0501,0.0167
22,17036.1,1.58907,1.31787,1.05928,0.99974,0.35206,0.28015,0.25572,0.14142,1.48168,1.19601,1.02953,0,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0124012,0.00413375,0.049605,0.016535
23,17741.4,1.58064,1.30619,1.05332,0.99911,0.36697,0.2904,0.26242,0.1459,1.46669,1.18079,1.02804,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.0122775,0.0040925,0.04911,0.01637
24,18447.3,1.56373,1.28996,1.04887,1.00008,0.3665,0.28616,0.25941,0.14487,1.4712,1.18776,1.02526,0,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0121537,0.00405125,0.048615,0.016205
25,19157.8,1.56225,1.28254,1.04802,0.99979,0.35598,0.29484,0.26256,0.14736,1.46178,1.16942,1.02339,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.01203,0.00401,0.04812,0.01604
26,19879.8,1.55749,1.27814,1.0452,0.99972,0.36012,0.29651,0.2654,0.14875,1.45107,1.16792,1.01661,0,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0119062,0.00396875,0.047625,0.015875
27,20577.4,1.54641,1.26164,1.04048,0.99938,0.37527,0.30241,0.27168,0.15283,1.44345,1.15645,1.01305,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.0117825,0.0039275,0.04713,0.01571
28,21277.7,1.54027,1.25096,1.03728,1.00035,0.36285,0.29786,0.26902,0.15114,1.44013,1.15342,1.01524,0,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0116587,0.00388625,0.046635,0.015545
29,21983.6,1.53479,1.24206,1.03532,0.99989,0.3976,0.29774,0.28241,0.15839,1.42934,1.13575,1.00978,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.011535,0.003845,0.04614,0.01538
30,22698.4,1.5303,1.24194,1.03532,0.99952,0.38272,0.30746,0.28091,0.15717,1.4334,1.14109,1.00921,0,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0114112,0.00380375,0.045645,0.015215
31,23403.4,1.52308,1.2321,1.03076,0.99988,0.38407,0.31776,0.28582,0.16062,1.42773,1.12572,1.00946,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.0112875,0.0037625,0.04515,0.01505
32,24105.7,1.5169,1.22418,1.03005,1.00001,0.39691,0.30824,0.28815,0.16217,1.41653,1.12645,1.00508,0,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0111638,0.00372125,0.044655,0.014885
33,24804.3,1.51578,1.21543,1.02886,0.99993,0.39647,0.31314,0.29075,0.16472,1.41834,1.12499,1.0041,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.01104,0.00368,0.04416,0.01472
34,25509.9,1.50621,1.20829,1.02324,0.99974,0.39688,0.32059,0.29226,0.16506,1.41071,1.10817,1.00372,0,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0109162,0.00363875,0.043665,0.014555
35,26289.6,1.50677,1.20565,1.02058,0.99999,0.39302,0.32338,0.29689,0.16854,1.40655,1.10141,1.00152,0,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.0107925,0.0035975,0.04317,0.01439
36,26988.8,1.49771,1.19498,1.01934,1.00025,0.40146,0.31795,0.29513,0.16797,1.40175,1.10259,0.99991,0,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0106687,0.00355625,0.042675,0.014225
37,27692.1,1.49347,1.19671,1.01977,0.99956,0.40023,0.31995,0.29532,0.16737,1.40033,1.10099,0.99808,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.010545,0.003515,0.04218,0.01406
38,28382.7,1.48778,1.18698,1.01828,0.9999,0.40532,0.32638,0.29917,0.16995,1.39172,1.09801,0.99616,0,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0104212,0.00347375,0.041685,0.013895
39,29054.7,1.47907,1.17264,1.01332,1.0002,0.41184,0.32675,0.30286,0.17161,1.38893,1.09207,0.99365,0,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.0102975,0.0034325,0.04119,0.01373
